longitude,latitude,laci
123.4088821,41.7910614,16401-67446333
123.4087296,41.80886078,16789-67567668
123.4088821,41.7910614,16401-67446324
123.4084473,41.79283905,16655-235209238
123.40905,41.79639816,16655-67441716
123.4088821,41.7910614,16401-67446325
123.4161072,41.78958893,16401-67447357
123.3819504,41.79463959,16794-2165260
123.3872986,41.80065155,16887-67651380
123.4151917,41.79349136,16640-67443980
123.4151917,41.79349136,16640-67444030
123.409462,41.7925415,16655-235035926
123.4088821,41.7910614,16401-67446283
123.3762817,41.8028717,16794-67287820
123.4161072,41.78958893,16401-67447348
123.4118195,41.79265976,16655-67444286
123.4118195,41.79265976,16655-67444276
123.4078903,41.79399109,16655-61396276
123.40905,41.79639816,16655-67441727
123.4088821,41.7910614,16401-67446285
123.4161072,41.78958893,16401-67447308
123.4118195,41.79265976,16655-67444257
123.3704987,41.8051796,16794-67634996
123.4088821,41.7910614,16401-67446335
123.4087296,41.80886078,16789-67567667
123.4128494,41.81581116,16789-67587861
123.4119873,41.8078804,16789-67569931
123.4113693,41.81541061,16789-67679039
123.4136581,41.81689835,16789-67671870
123.4131699,41.81354904,16642-249676043
123.4008865,41.80546951,16642-249676044
123.3991394,41.82085037,16409-67652158
123.4143829,41.81169891,16789-67584309
123.4050827,41.81103134,16642-249676045
123.4087067,41.80638123,16789-249616139
123.4143829,41.81169891,16789-67584269
123.4136581,41.81689835,16789-67671821
123.4087296,41.80886078,16789-67567627
123.4168396,41.82715988,16644-67663667
123.4131699,41.82835007,16644-67302719
123.4109268,41.82249069,16644-67298622
123.4132919,41.82429123,16644-67663372
123.4301834,41.82373047,16644-2292020
123.4287491,41.82312012,16883-12929421
123.4427795,41.79285812,16640-67141428
123.4364624,41.79341888,16640-67657995
123.4385071,41.79291916,16640-67189536
123.4135971,41.82078171,16644-2538649
123.4133606,41.82601166,16644-67291147
123.4133606,41.82601166,16644-67291149
123.4094467,41.81962967,16644-67290932
123.418869,41.79587936,16640-67442209
123.4217072,41.80179977,16789-60120709
123.4168396,41.82715988,16644-67663679
123.4131699,41.81354904,16789-235162125
123.4228973,41.82117081,16644-67678751
123.4427795,41.79285812,16640-67141388
123.4133682,41.81906128,16644-67678261
123.4415131,41.79069901,16640-59982725
123.4133606,41.82601166,16644-67291187
123.4413986,41.79521179,16407-234984205
123.4087677,41.82728958,16644-67675700
123.4109268,41.82249069,16644-67298612
123.4168396,41.82715988,16644-67663677
123.4168396,41.82715988,16644-67663647
123.4118118,41.82775879,16644-2270476
123.415947,41.82638931,16644-61726606
123.415947,41.82638931,16644-61726605
123.4135971,41.82078171,16644-2538629
123.4314499,41.79272842,16640-67485236
123.4385071,41.79291916,16640-67189556
123.4172211,41.8232193,16644-60105861
123.4355469,41.81787872,16883-12929677
123.4248505,41.80847931,16789-67568141
123.418869,41.79587936,16640-67442208
123.4321518,41.79225922,16883-12941965
123.4131699,41.82835007,16644-67302717
123.4452972,41.79330063,16407-67190325
123.4135971,41.82078171,16644-2538647
123.4364777,41.81536865,16885-68042773
123.4435272,41.81632996,16885-234955553
123.7440491,41.87060928,16468-3990284
123.4362564,41.81409836,16789-234946611
123.9822388,41.91376114,16468-70594315
123.8424911,41.90208054,16468-70605325
123.4362564,41.81409836,16789-234946621
123.5701828,41.84872055,16410-67491853
123.8424911,41.90208054,16468-70605323
123.7372131,41.86552811,16471-237439787
123.4362564,41.81409836,16789-234946591
123.5129471,41.81296921,16398-67227709
123.5773392,41.84096146,16410-67962380
123.4498215,41.8127594,16885-67207692
123.4513474,41.80987167,16885-60295299
123.9071808,41.90761185,16468-13291532
123.79702,41.89694977,16468-70601484
122.8896332,41.51470947,16392-2287688
122.8960876,41.51839828,16392-67169077
122.8896332,41.51470947,16392-2287689
122.8896332,41.51470947,16392-2287679
122.8947372,41.51762009,16392-67281931
123.4119873,41.8078804,16789-67569932
122.8960876,41.51839828,16392-67169036
123.3034363,41.77828979,16404-60139396
122.9067917,41.52077866,16392-54556744
123.2350616,41.76229858,16389-2571019
123.40065,41.79916,16655-67684149
122.8960876,41.51839828,16392-67169037
122.8741531,41.50146866,16392-67167243
123.3013992,41.79296112,16654-249680947
123.2972031,41.79404068,16654-67981580
123.3987732,41.65663147,16648-67927603
123.3872604,41.68149948,16399-60684350
123.3922501,41.76182175,16788-2282804
123.3968201,41.77841949,16884-2270987
123.4054337,41.73435974,16650-67544628
123.3297577,41.79167938,16388-2494781
123.3355484,41.82492065,16888-67998516
123.3987732,41.65663147,16648-67927583
123.3987732,41.65663147,16648-67927613
123.3975372,41.7638588,16788-67467583
123.3119812,41.79444885,16654-61356164
123.2972031,41.79404068,16654-67981640
123.4074783,41.71160889,16650-2425867
123.4003372,41.748909,16788-67552565
123.2972031,41.79404068,16654-67981630
123.4100418,41.71696854,16650-2432269
123.3088303,41.7948494,16654-67902733
123.4054337,41.73435974,16650-67544588
123.341301,41.83958817,16888-2531389
123.4041824,41.78815842,16884-12600708
123.4106903,41.80588913,16789-67436575
123.382637,41.67253876,16399-67535413
123.3415833,41.83486938,16888-67869493
123.3956985,41.66041946,16648-2388748
123.3636017,41.76478958,16643-13098883
122.8239136,42.01221848,16394-60333189
123.330162,41.81687927,16888-67182101
123.4646378,41.80677032,16885-67202367
123.4543991,41.80009079,16407-67197235
123.4646378,41.80677032,16885-67202337
123.4689713,41.83068848,16395-234947891
123.4689713,41.83068848,16395-234947851
123.4746933,41.83179855,16395-234968115
123.4746933,41.83179855,16395-234968125
123.4746933,41.83179855,16395-234968075
122.8331604,42.01269913,16394-249588748
122.8111191,42.0118103,16394-67977739
123.4572067,41.81924057,16395-67211827
123.385437,41.76366043,16788-13087108
123.2186127,41.87506866,16389-235099405
123.3260727,41.78894043,16388-67421707
123.4369736,41.81069946,16789-67205684
123.4262009,41.81328964,16789-67502604
123.2430191,41.85911942,16389-68019724
123.3388977,41.77386856,16404-67852812
123.3388977,41.77386856,16404-67852852
123.451828,41.79811859,16407-54568008
123.013298,41.95848083,16385-60322181
123.4638138,41.80162811,16407-68100148
123.2880707,41.84394073,16888-67907340
123.4638138,41.80162811,16407-68100147
123.4589996,41.80213165,16407-67198772
123.4533081,41.79941177,16407-67195915
123.4639206,41.80471039,16885-68102411
122.9420471,42.01485825,16394-249680395
123.3680801,41.7646904,16643-67640895
123.4119873,41.8078804,16789-67569981
123.4639206,41.80471039,16885-68102452
122.9983902,42.02111053,16394-67610125
123.4670715,41.83361053,16395-12618136
123.4128571,41.80469894,16789-67436853
123.4128571,41.80469894,16789-67436811
123.4106903,41.80588913,16789-67436595
123.3436737,41.78839111,16388-2567997
123.3488464,41.79114151,16388-2515251
123.3471985,41.78953934,16388-2567693
123.3480301,41.79275894,16388-67654196
123.3436737,41.78839111,16388-2567947
123.3436737,41.78839111,16388-2567987
123.3501663,41.7890892,16406-67644725
123.3462982,41.78725052,16388-67926048
123.3501892,41.79389191,16388-67637556
123.3480301,41.79275894,16388-67654176
123.3831787,41.75664902,16788-235017011
123.3879929,41.75057983,16788-67553843
123.4159698,41.80778122,16789-67567885
123.4167023,41.80054855,16789-67438623
123.4153519,41.7809906,16401-67454773
123.3471985,41.78953934,16388-2567743
123.3493729,41.79272079,16388-55818833
123.3488464,41.79114151,16388-2515211
123.4054337,41.73435974,16650-67544627
123.3501663,41.7890892,16406-67644705
123.3716965,41.76863861,16643-67660831
123.3716965,41.76863861,16643-67660851
123.3605576,41.77761841,16643-67697973
123.3501892,41.79389191,16388-67637516
123.3879929,41.75057983,16788-67553845
123.4168396,41.78324127,16401-67452705
123.3501892,41.79389191,16388-67637567
123.3456116,41.7684288,16643-60629135
123.4342422,41.75323868,16788-67577651
123.4062119,41.79008865,16884-67446579
123.3912888,41.76742935,16788-67472692
123.4266129,41.75957108,16788-67469323
123.4439316,41.78248978,16882-67182645
123.3462982,41.78725052,16388-67358733
123.3501663,41.7890892,16406-67644735
123.3629379,41.77523041,16643-67687988
123.3988419,41.75511932,16788-67374899
123.4291306,41.76118851,16402-13094797
123.4003372,41.748909,16788-67552575
123.4137192,41.77326965,16788-67576885
123.4176865,41.80654907,16789-12618763
123.4003372,41.748909,16788-67552574
123.4268494,41.78609085,16640-67478591
123.4222031,41.78456116,16401-67452172
123.4685898,41.7313118,16405-67492109
123.3501892,41.79389191,16388-67637566
123.3468475,41.77386856,16643-60678533
123.4014435,41.7567215,16788-67552319
123.3988419,41.75511932,16788-67374909
123.3388977,41.77386856,16404-67852861
123.3488464,41.79114151,16388-2515252
123.4236679,41.79983139,16640-67438861
123.4140701,41.79787827,16789-67440653
123.4003906,41.7820015,16884-67454495
123.3966904,41.72800064,16650-235060532
123.4266129,41.75957108,16788-67469325
123.4166412,41.77536011,16401-67461429
123.5041275,41.64099884,16399-67491339
123.3549118,41.7796402,16643-67657779
123.3629379,41.77523041,16643-67687989
123.3783112,41.78226852,16406-67640629
123.3831787,41.75664902,16788-235016973
123.4340591,41.73952103,16405-2425397
123.3377228,41.76914978,16404-67975219
123.4130402,41.74742889,16788-67493941
123.4277878,41.76531982,16788-67467275
123.4256287,41.75188065,16788-67412237
123.4317474,41.78593826,16640-67479051
123.4221497,41.7995491,16640-68037172
123.4142609,41.80113983,16789-67574796
123.4086685,41.73022079,16640-61673091
123.4417267,41.78430939,16882-67183883
123.3834229,41.78184128,16406-67688244
123.3565521,41.76601028,16643-67633931
123.3549423,41.76934052,16643-67697421
123.3389969,41.76615906,16404-235094047
123.3527908,41.78551102,16643-2107670
123.3509064,41.78245163,16643-67637279
123.3388977,41.77386856,16404-67852851
123.4094391,41.75185013,16788-67553311
123.3471985,41.78953934,16388-2567732
123.4248962,41.79085159,16640-67477567
123.4003677,41.79526138,16655-2542132
123.4268494,41.78609085,16640-67478589
123.4270782,41.78303909,16401-67452990
123.4277878,41.76531982,16788-67467325
123.4062119,41.79008865,16884-67446580
123.4003677,41.79526138,16655-2542092
123.4193115,41.78630829,16401-67450379
123.4003677,41.79526138,16655-2542142
123.4221497,41.78771973,16640-67448895
123.5447083,42.4447403,16732-69097485
123.5373001,42.43714905,16732-69095181
123.5512619,42.44602966,16732-69181195
123.5568695,42.44176102,16732-60990861
123.5453186,42.45396042,16732-236228107
123.5511475,42.45238113,16732-69099021
123.5406113,42.44189072,16732-60974724
123.5506516,42.4428215,16732-55190857
123.5500183,42.45716095,16732-69098507
123.5334167,42.09577179,16653-67863819
123.4830093,41.87791824,16889-67538751
123.4457703,41.81283188,16885-67207475
123.4369736,41.81069946,16789-67205643
123.4769592,41.8914299,16889-67542540
123.539238,42.44129944,16732-69094156
123.4642181,42.49359894,16397-67394612
123.5341415,42.43497086,16732-236333836
123.5492096,42.44966888,16732-236334605
123.5392532,42.45907974,16732-69093899
123.5400696,42.00228882,16653-249611789
123.4766693,41.85401154,16645-67229748
123.5512619,42.44602966,16732-69181196
123.5492096,42.44966888,16732-236334604
123.549263,42.45034027,16732-69094668
123.5453186,42.45396042,16732-236228109
123.549263,42.45034027,16732-69094667
123.5512619,42.44602966,16732-69181197
123.4481201,42.48986816,16397-55625543
123.4642181,42.49359894,16397-67394572
123.539238,42.44129944,16732-69094155
123.5518417,42.440979,16732-69107981
123.5438232,42.44987106,16732-236331532
123.5341415,42.43497086,16732-236333835
123.560051,42.45108032,16732-69097996
123.436348,42.48641968,16397-67972640
123.5317078,41.9632988,16393-67993867
123.4470367,42.50167847,16397-67283724
123.4163818,42.28546906,16387-55554120
123.4024124,42.27907944,16387-249644044
123.5422287,42.43495178,16732-1861133
123.4087067,41.80638123,16789-249616140
123.4106903,41.80588913,16789-67436605
123.4154205,41.80363083,16789-67581195
123.318222,41.89696884,16389-2377741
123.3894806,41.81341171,16887-67645473
123.4712601,41.80279922,16793-67199294
122.7451477,42.19039917,16387-67158027
123.3720703,41.79911041,16794-67672382
122.5491333,42.35128021,16720-13590917
123.4142609,41.80113983,16789-67574835
122.8788223,42.04098892,16394-67145483
122.5167389,42.3719902,16720-70230540
122.5376816,42.37062073,16720-237699135
123.3815536,41.79856873,16794-12594819
122.9195099,42.03261948,16394-249610035
123.4138184,41.79597855,16655-67441931
123.4151917,41.79349136,16640-67444031
123.4118195,41.79265976,16655-67444287
123.4130478,41.79536819,16655-59805069
123.4130478,41.79536819,16655-59804557
123.4138184,41.79597855,16655-67441932
123.4102325,41.79447174,16655-235040023
123.40905,41.79639816,16655-67441725
123.4102325,41.79447174,16655-235040021
123.4102325,41.79447174,16655-235040053
123.4128571,41.80469894,16789-67436863
123.4154205,41.80363083,16789-67581196
123.4138184,41.79597855,16655-67441972
123.4138184,41.79597855,16655-67441983
123.4087296,41.80886078,16789-67567629
123.4151917,41.79349136,16640-67443981
123.4151917,41.79349136,16640-67444021
123.4533997,41.79098892,16407-249616395
123.4151917,41.79349136,16640-67444019
123.4041824,41.78815842,16884-12600748
123.3628693,41.76919937,16643-67661619
123.4081192,41.80641937,16789-61706125
123.3614578,41.76667023,16643-67644191
123.3764191,41.77386856,16643-60138628
123.3628693,41.76919937,16643-67661621
123.3716965,41.76863861,16643-67660833
123.3492432,41.76873016,16643-235143457
123.4248962,41.79085159,16640-67477557
123.4003677,41.79526138,16655-2542143
123.40905,41.79639816,16655-67441677
123.3614578,41.76667023,16643-67644221
123.4019775,41.78142166,16401-67584831
123.3847275,41.76959991,16788-67471884
123.4061203,41.79851151,16655-67440435
123.3968201,41.77841949,16884-2271039
123.3942108,41.77685928,16884-67577405
123.3942108,41.77685928,16884-67577406
123.4346771,41.76557159,16402-67506958
123.3776016,41.7694397,16643-235151116
123.3262634,41.79748917,16654-67422516
123.4065933,41.85773087,16792-2241075
123.4087296,41.80886078,16789-67567669
123.4136581,41.81689835,16789-67671861
123.4062119,41.79008865,16884-67446589
123.3664627,41.76753998,16643-235147040
123.3614578,41.76667023,16643-67644192
123.4030685,41.7986908,16655-67583757
123.4502182,41.77291107,16647-67178549
123.3614578,41.76667023,16643-67644212
123.3155365,41.76620102,16404-2165556
123.3565521,41.76601028,16643-67633973
123.3481827,41.76536179,16643-67667212
123.3940125,41.77256012,16788-67433741
123.4309311,41.79019928,16640-67477791
123.4181137,41.79104996,16640-13072269
123.3142776,41.76586914,16404-67782441
123.3256607,41.7711792,16404-67963699
123.3421478,41.77145004,16404-67877132
123.3325119,41.81990051,16888-67886604
123.3389969,41.76615906,16404-235094048
123.4028625,41.77616882,16884-67460413
123.3614578,41.76667023,16643-67644211
123.4346771,41.76557159,16402-67466508
123.3940125,41.77256012,16788-67433781
123.3628693,41.76919937,16643-67661631
123.3968582,41.8028717,16887-67639348
123.4536133,41.79661179,16407-67193396
123.4051132,41.79402924,16655-67443519
123.3370209,41.82825851,16888-67969805
123.380127,41.76828003,16642-249676812
123.4270782,41.78303909,16401-67452980
123.6237869,42.17071915,16736-236420373
123.4345474,41.81629181,16789-68102707
123.4354477,41.82389832,16885-13088142
123.4592972,41.79668045,16407-67193101
123.4301834,41.82373047,16644-2291979
123.4359512,41.82593155,16644-67271968
123.4363098,41.81896973,16885-67118869
123.4345474,41.81629181,16789-68102667
123.4348373,41.81600189,16789-67361301
123.4548798,41.80014038,16407-235011380
123.4354401,41.8241806,16644-61670531
123.454422,41.80472183,16885-67200563
123.454422,41.80472183,16885-67200524
123.4369812,41.81771088,16883-67319317
123.4355469,41.81787872,16883-12916621
123.527153,42.09254074,16642-67308565
123.4548798,41.80014038,16407-235011350
123.4200516,41.84743118,16644-2203670
123.4196777,41.8441391,16644-67694624
123.4200516,41.84743118,16644-2203669
123.43573,41.82846069,16644-234976821
123.4186478,41.84656143,16644-67670579
123.4186478,41.84656143,16644-67670539
123.4198914,41.85242844,16644-67673868
123.4148865,41.85251999,16644-67593996
123.4196777,41.8441391,16644-67694645
123.4186478,41.84656143,16644-67670540
123.4121704,41.8152504,16789-67681056
123.4186478,41.84656143,16644-67670589
123.4208603,41.81906128,16789-67295541
123.4206696,41.82857895,16644-2519307
123.4684677,41.80929947,16885-2520843
123.4600601,41.79861832,16407-67195147
123.4599075,41.79985046,16407-67954967
123.4600601,41.79861832,16407-67195148
123.4513474,41.80987167,16885-60295300
123.4510498,41.91876984,16889-2177293
123.4627838,41.95598984,16653-67366933
123.4263535,41.81867981,16789-67272480
123.4563904,41.90901184,16889-67508235
123.4658508,41.9552002,16653-235065613
123.6631165,41.90634155,16652-68015885
123.5547409,41.94411087,16393-67320843
123.6205215,41.84529114,16410-67273996
123.4274979,41.81919861,16789-235025941
123.4263535,41.81867981,16789-2582541
123.4592972,41.79668045,16407-67193151
123.4592972,41.79668045,16407-67193149
123.3498383,41.8263092,16642-249679637
123.4207916,41.81219864,16789-12601476
123.4263535,41.81867981,16789-2582581
123.4286728,41.81935883,16789-12639622
123.4610901,41.79938889,16407-67826965
123.4533081,41.79941177,16407-67195916
123.2917175,41.85375977,16642-67914517
123.4600601,41.79861832,16407-67195197
123.6168213,41.83940125,16410-67956767
123.4208603,41.81906128,16789-67295550
123.4543991,41.80009079,16407-67197247
123.569931,41.82043076,16411-234881804
123.6147003,41.86344147,16410-68018444
123.4592972,41.79668045,16407-67193141
123.5534897,41.82307053,16411-2583052
123.4286728,41.81935883,16789-12639621
123.5447998,41.81800079,16398-234884620
123.4295883,41.81406021,16789-2492685
123.6185837,41.84320831,16410-60317325
123.4324036,41.81552887,16789-2226495
123.4460373,41.80059814,16407-13049485
123.4342117,41.94113159,16886-13063044
123.4586716,41.95204926,16653-2385931
123.5203018,41.81267929,16398-249595404
123.40979,41.80258942,16789-67438092
123.4117813,41.80295181,16789-60622734
123.4119873,41.8078804,16789-67569933
123.4022598,41.79708862,16655-67413783
123.386528,41.80400848,16887-67645246
123.4030685,41.7986908,16655-67583755
123.4030685,41.7986908,16655-67583797
123.394043,41.79904938,16887-235143989
123.3817978,41.79629135,16794-2372661
123.4023285,41.7983017,16655-60150659
123.386528,41.80400848,16887-67645216
123.3846817,41.79840088,16794-2306867
123.4041138,41.7967186,16655-67441460
123.4246597,41.84859085,16644-59972148
123.4152374,41.88574982,16883-12926861
123.4548798,41.80014038,16407-235011379
123.4717484,41.79951096,16793-60357005
123.4013824,41.91791916,16886-67775254
123.4085617,41.92082977,16886-67561012
123.4035416,41.92454147,16886-67515463
123.4035416,41.92454147,16886-67515464
123.4087524,41.92951965,16886-68031244
123.4144669,41.91923904,16886-54560329
123.4175568,41.84672928,16883-12928653
123.4331589,41.84371185,16645-55574089
123.4103012,41.92798996,16886-54559561
123.4076996,41.91476059,16886-61731469
123.4712601,41.80279922,16793-67199245
123.4164734,41.86935043,16883-12927629
123.4589996,41.80213165,16407-67198733
123.4009628,41.91902924,16886-67524364
123.451828,41.79811859,16407-54568009
123.4638138,41.80162811,16407-68100127
123.4669266,41.78964996,16646-2613517
123.4164734,41.86935043,16883-12928141
123.4543991,41.80009079,16407-67197196
123.4164734,41.86935043,16883-12927885
123.4035416,41.92454147,16886-67515443
123.4175568,41.85667038,16883-12928397
123.4009628,41.91902924,16886-67524413
123.4035416,41.92454147,16886-67515455
123.4080276,41.91123962,16886-54558535
123.4030914,41.91810608,16883-12925837
123.4712601,41.80279922,16793-67199243
123.4093399,41.91552734,16883-12926605
123.4404678,41.75371933,16402-67470623
123.4191513,41.75864029,16788-67469599
123.4014435,41.7567215,16788-67552318
123.4098206,41.76158142,16788-67459893
123.4162903,41.74272156,16650-12583043
123.4062119,41.79008865,16884-67446541
123.4191513,41.75864029,16788-67469619
123.4422989,41.75917816,16402-234948415
123.4014435,41.7567215,16788-67552308
123.4172592,41.75402069,16788-55575111
123.4098206,41.76158142,16788-67459853
123.3903427,41.84566116,16409-67649341
123.6128006,41.91992188,16652-68147724
123.3903427,41.84566116,16409-67649343
123.5381393,41.8143692,16398-234972724
123.3982391,41.85168076,16409-68119347
123.3982391,41.85168076,16409-68119358
123.3870163,41.84881973,16797-235145013
123.3870163,41.84881973,16797-235144993
123.6128006,41.91992188,16652-68147723
123.5636902,41.82130051,16411-234889997
123.6223526,41.91783142,16652-67993357
123.6631165,41.90634155,16652-68015884
123.4121704,41.8152504,16789-67681076
123.5677872,41.93626022,16652-67651596
123.393837,41.82297134,16409-67646259
123.6464767,41.89081955,16652-68017163
123.5413132,41.81227112,16398-67241012
123.3903427,41.84566116,16409-67649291
123.5568008,41.93996811,16393-234883615
123.6201782,41.9096489,16652-67983883
123.4041595,41.81858826,16644-67692555
123.3903427,41.84566116,16409-67649331
123.4135284,41.82027817,16644-59822869
123.4135971,41.82078171,16644-2538657
123.4042511,41.80353928,16789-67437620
123.40979,41.80258942,16789-67438133
123.4064331,41.81716919,16644-2486293
123.4042511,41.80353928,16789-67437580
123.4069672,41.80120087,16789-60659333
123.4135971,41.82078171,16644-2538627
123.4061966,41.80123901,16789-2537237
123.4128571,41.80469894,16789-67436851
123.4042511,41.80353928,16789-67437629
123.4042511,41.80353928,16789-67437631
123.4133682,41.81906128,16644-67678241
122.7714081,41.54814148,16649-60675972
122.7269135,41.51633072,16649-60144005
122.7724075,41.51464081,16649-67393036
122.7772369,41.51359177,16649-67394829
122.7453766,41.53580856,16649-67920395
123.2509003,41.7915802,16389-61675395
123.2530518,41.79824066,16389-61355396
123.3481064,41.80242157,16388-67689533
122.7757568,41.51927948,16649-67382027
122.7719193,41.52408981,16649-67395596
122.7765121,41.52312088,16649-67396619
122.757019,41.51089859,16649-67392523
122.7354126,41.5146904,16649-67842573
122.7342606,41.51079178,16649-67841291
122.9533234,41.66001892,16642-67919125
123.022522,41.69903183,16642-68086549
122.7325897,41.52330017,16649-67838220
122.7581863,41.54389191,16649-60308612
122.7690811,41.51876068,16649-67395340
122.7742615,41.51811981,16649-67395085
122.7724075,41.51464081,16649-67393035
122.7719193,41.52408981,16649-67395595
122.7933578,41.542099,16649-67155725
122.7757568,41.51927948,16649-67382028
122.7719193,41.52408981,16649-67395597
122.7453766,41.53580856,16649-67920396
123.29879,41.79964828,16654-67850765
123.3481064,41.80242157,16388-67689525
122.6257172,42.09761047,16641-235110924
123.4042511,41.80353928,16789-67437621
123.2036438,41.78199005,16389-67958541
123.2343063,41.78770828,16389-60111747
122.65802,42.1137619,16641-67938572
122.7557602,41.52416992,16649-54587473
122.7282715,41.52038956,16649-67911693
122.7401428,41.52555847,16649-61674371
122.7662811,41.52230072,16649-67395851
123.40979,41.80258942,16789-67438091
123.3353424,41.80545044,16388-60128901
122.7342606,41.51079178,16649-67841331
122.9327164,41.5591011,16392-234885643
123.3968582,41.8028717,16887-67639328
123.3325119,41.81990051,16888-67886605
123.3324966,41.82276917,16888-2257932
123.3931732,41.80286026,16887-67650101
123.4030685,41.7986908,16655-67583795
123.4225464,41.80387115,16789-67437323
123.3968582,41.8028717,16887-67639329
123.3919601,41.81158066,16789-235161356
123.3325119,41.81990051,16888-67886603
123.4014587,41.80643845,16789-55568712
123.367691,41.8111496,16887-67684641
123.3847275,41.76959991,16788-67471883
123.339653,41.81502151,16888-60150147
123.3968582,41.8028717,16887-67639349
123.4299622,41.7955513,16640-2202123
123.4299622,41.7955513,16640-2358293
123.4120865,41.78800964,16401-2483509
123.4299622,41.7955513,16640-2202163
123.4083481,41.77854156,16401-67458111
123.4022293,41.78134155,16401-13091469
123.3952179,41.7841301,16884-67451711
123.3726807,41.79486084,16794-2563094
123.3826599,41.8101387,16887-67696651
123.4639206,41.80471039,16885-68102451
123.4663086,41.80532074,16885-67201035
123.4268494,41.79563141,16640-12597123
123.465683,41.80266953,16407-67198987
123.465683,41.80266953,16407-67198988
123.4678802,41.80458069,16885-235263768
123.4638138,41.80162811,16407-68100159
123.4299622,41.7955513,16640-2358294
123.4638138,41.80162811,16407-68100157
123.465683,41.80266953,16407-67199028
123.3732986,41.79420853,16794-12633229
123.3718033,41.79592896,16794-235152179
123.4266968,41.79343033,16640-67476747
123.4166718,41.8102417,16789-67291404
123.4287415,41.79898834,16640-2531123
123.3731918,41.79338837,16794-2548235
123.4746933,41.79481125,16793-249609780
123.465683,41.80266953,16407-67199027
123.4637909,41.81052017,16885-60637859
123.4489136,41.80635071,16885-67203135
123.4161072,41.78958893,16401-67447347
123.3731918,41.79338837,16794-2548287
123.4299622,41.7955513,16640-2202124
123.3997421,41.79064178,16655-67381783
123.3417969,41.66085815,16386-67529523
123.3958817,41.79579926,16642-2180885
123.4003677,41.79272079,16655-68109590
123.3952179,41.79211044,16655-12599970
123.3997421,41.79064178,16655-67381784
123.3346634,41.66479874,16386-67699724
123.3417969,41.66085815,16386-67529543
123.3997421,41.79064178,16655-67381782
123.3997421,41.79064178,16655-67381781
123.3343735,41.67208099,16386-67525900
123.3346634,41.66479874,16386-67699725
123.3925018,41.80960083,16789-67665982
123.3417969,41.66085815,16386-67529483
123.4014587,41.80643845,16789-55568711
123.3776627,41.72552872,16650-67588620
123.3417969,41.66085815,16386-67529533
123.3987808,41.79122162,16655-67776279
123.3942108,41.77685928,16884-67577356
123.3495331,41.66714859,16386-67815436
123.3458176,41.6639595,16386-67717171
123.3471069,41.66733932,16386-67824651
123.3458176,41.6639595,16386-67717181
123.3845367,41.54256058,16642-235026197
123.4329834,41.81972885,16789-61351556
123.4403229,41.8205986,16642-2180669
123.4286728,41.81935883,16789-12639620
123.3993683,41.75222015,16788-67738419
123.3458176,41.6639595,16386-67717131
123.3732529,41.66904831,16386-2543115
123.3458176,41.6639595,16386-67717182
123.3904877,41.83256912,16409-235155212
123.40065,41.79916,16655-67684107
123.2798462,41.77922058,16654-67905292
123.3995667,41.80458832,16789-67574028
